"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Ratio","Sepal.Length.Category"
"1",5.1,3.5,1.4,0.2,"setosa",1.45714285714286,"Short"
"2",4.9,3,1.4,0.2,"setosa",1.63333333333333,"Short"
"3",4.7,3.2,1.3,0.2,"setosa",1.46875,"Short"
"4",4.6,3.1,1.5,0.2,"setosa",1.48387096774194,"Short"
"5",5,3.6,1.4,0.2,"setosa",1.38888888888889,"Short"
"6",5.4,3.9,1.7,0.4,"setosa",1.38461538461538,"Short"
"7",4.6,3.4,1.4,0.3,"setosa",1.35294117647059,"Short"
"8",5,3.4,1.5,0.2,"setosa",1.47058823529412,"Short"
"9",4.4,2.9,1.4,0.2,"setosa",1.51724137931034,"Short"
"10",4.9,3.1,1.5,0.1,"setosa",1.58064516129032,"Short"
"11",5.4,3.7,1.5,0.2,"setosa",1.45945945945946,"Short"
"12",4.8,3.4,1.6,0.2,"setosa",1.41176470588235,"Short"
"13",4.8,3,1.4,0.1,"setosa",1.6,"Short"
"14",5.85571428571429,3,1.1,0.1,"setosa",1.43333333333333,"Short"
"15",5.8,4,1.2,0.2,"setosa",1.45,"Medium"
"16",5.7,4.4,1.5,0.4,"setosa",1.29545454545455,"Medium"
"17",5.4,3.9,1.3,0.4,"setosa",1.38461538461538,"Short"
"18",5.1,3.5,1.4,0.3,"setosa",1.45714285714286,"Short"
"19",5.7,3.8,1.7,0.3,"setosa",1.5,"Medium"
"20",5.1,3.8,1.5,0.3,"setosa",1.34210526315789,"Short"
"21",5.4,3.4,1.7,0.2,"setosa",1.58823529411765,"Short"
"22",5.1,3.7,1.5,0.4,"setosa",1.37837837837838,"Short"
"23",4.6,3.6,1,0.2,"setosa",1.27777777777778,"Short"
"24",5.1,3.3,1.7,0.5,"setosa",1.54545454545455,"Short"
"25",4.8,3.4,1.9,0.2,"setosa",1.41176470588235,"Short"
"26",5,3,1.6,0.2,"setosa",1.66666666666667,"Short"
"27",5,3.4,1.6,0.4,"setosa",1.47058823529412,"Short"
"28",5.2,3.5,1.5,0.2,"setosa",1.48571428571429,"Short"
"29",5.2,3.4,1.4,0.2,"setosa",1.52941176470588,"Short"
"30",4.7,3.2,1.6,0.2,"setosa",1.46875,"Short"
"31",4.8,3.1,1.6,0.2,"setosa",1.54838709677419,"Short"
"32",5.4,3.4,1.5,0.4,"setosa",1.58823529411765,"Short"
"33",5.2,4.1,1.5,0.1,"setosa",1.26829268292683,"Short"
"34",5.5,4.2,1.4,0.2,"setosa",1.30952380952381,"Short"
"35",4.9,3.1,1.5,0.2,"setosa",1.58064516129032,"Short"
"36",5,3.2,1.2,0.2,"setosa",1.5625,"Short"
"37",5.5,3.5,1.3,0.2,"setosa",1.57142857142857,"Short"
"38",4.9,3.6,1.4,0.1,"setosa",1.36111111111111,"Short"
"39",4.4,3,1.3,0.2,"setosa",1.46666666666667,"Short"
"40",5.1,3.4,1.5,0.2,"setosa",1.5,"Short"
"41",5,3.5,1.3,0.3,"setosa",1.42857142857143,"Short"
"42",4.5,2.3,1.3,0.3,"setosa",1.95652173913044,"Short"
"43",5.85571428571429,3.2,1.3,0.2,"setosa",1.375,"Short"
"44",5,3.5,1.6,0.6,"setosa",1.42857142857143,"Short"
"45",5.1,3.8,1.9,0.4,"setosa",1.34210526315789,"Short"
"46",4.8,3,1.4,0.3,"setosa",1.6,"Short"
"47",5.1,3.8,1.6,0.2,"setosa",1.34210526315789,"Short"
"48",4.6,3.2,1.4,0.2,"setosa",1.4375,"Short"
"49",5.3,3.7,1.5,0.2,"setosa",1.43243243243243,"Short"
"50",5.85571428571429,3.3,1.4,0.2,"setosa",1.51515151515152,"Short"
"51",7,3.2,4.7,1.4,"versicolor",2.1875,"Long"
"52",6.4,3.2,4.5,1.5,"versicolor",2,"Medium"
"53",6.9,3.1,4.9,1.5,"versicolor",2.2258064516129,"Long"
"54",5.5,2.3,4,1.3,"versicolor",2.39130434782609,"Short"
"55",6.5,2.8,4.6,1.5,"versicolor",2.32142857142857,"Medium"
"56",5.7,2.8,4.5,1.3,"versicolor",2.03571428571429,"Medium"
"57",6.3,3.3,4.7,1.6,"versicolor",1.90909090909091,"Medium"
"58",4.9,2.4,3.3,1,"versicolor",2.04166666666667,"Short"
"59",6.6,2.9,4.6,1.3,"versicolor",2.27586206896552,"Long"
"60",5.2,2.7,3.9,1.4,"versicolor",1.92592592592593,"Short"
"61",5,2,3.5,1,"versicolor",2.5,"Short"
"62",5.9,3,4.2,1.5,"versicolor",1.96666666666667,"Medium"
"63",6,2.2,4,1,"versicolor",2.72727272727273,"Medium"
"64",6.1,2.9,4.7,1.4,"versicolor",2.10344827586207,"Medium"
"65",5.6,2.9,3.6,1.3,"versicolor",1.93103448275862,"Medium"
"66",6.7,3.1,4.4,1.4,"versicolor",2.16129032258065,"Long"
"67",5.6,3,4.5,1.5,"versicolor",1.86666666666667,"Medium"
"68",5.8,2.7,4.1,1,"versicolor",2.14814814814815,"Medium"
"69",6.2,2.2,4.5,1.5,"versicolor",2.81818181818182,"Medium"
"70",5.6,2.5,3.9,1.1,"versicolor",2.24,"Medium"
"71",5.9,3.2,4.8,1.8,"versicolor",1.84375,"Medium"
"72",6.1,2.8,4,1.3,"versicolor",2.17857142857143,"Medium"
"73",6.3,2.5,4.9,1.5,"versicolor",2.52,"Medium"
"74",6.1,2.8,4.7,1.2,"versicolor",2.17857142857143,"Medium"
"75",6.4,2.9,4.3,1.3,"versicolor",2.20689655172414,"Medium"
"76",6.6,3,4.4,1.4,"versicolor",2.2,"Long"
"77",6.8,2.8,4.8,1.4,"versicolor",2.42857142857143,"Long"
"78",6.7,3,5,1.7,"versicolor",2.23333333333333,"Long"
"79",6,2.9,4.5,1.5,"versicolor",2.06896551724138,"Medium"
"80",5.7,2.6,3.5,1,"versicolor",2.19230769230769,"Medium"
"81",5.5,2.4,3.8,1.1,"versicolor",2.29166666666667,"Short"
"82",5.5,2.4,3.7,1,"versicolor",2.29166666666667,"Short"
"83",5.8,2.7,3.9,1.2,"versicolor",2.14814814814815,"Medium"
"84",6,2.7,5.1,1.6,"versicolor",2.22222222222222,"Medium"
"85",5.4,3,4.5,1.5,"versicolor",1.8,"Short"
"86",6,3.4,4.5,1.6,"versicolor",1.76470588235294,"Medium"
"87",6.7,3.1,4.7,1.5,"versicolor",2.16129032258065,"Long"
"88",6.3,2.3,4.4,1.3,"versicolor",2.73913043478261,"Medium"
"89",5.6,3,4.1,1.3,"versicolor",1.86666666666667,"Medium"
"90",5.85571428571429,2.5,4,1.3,"versicolor",2.2,"Short"
"91",5.85571428571429,2.6,4.4,1.2,"versicolor",2.11538461538462,"Short"
"92",5.85571428571429,3,4.6,1.4,"versicolor",2.03333333333333,"Medium"
"93",5.8,2.6,4,1.2,"versicolor",2.23076923076923,"Medium"
"94",5,2.3,3.3,1,"versicolor",2.17391304347826,"Short"
"95",5.6,2.7,4.2,1.3,"versicolor",2.07407407407407,"Medium"
"96",5.7,3,4.2,1.2,"versicolor",1.9,"Medium"
"97",5.7,2.9,4.2,1.3,"versicolor",1.96551724137931,"Medium"
"98",6.2,2.9,4.3,1.3,"versicolor",2.13793103448276,"Medium"
"99",5.1,2.5,3,1.1,"versicolor",2.04,"Short"
"100",5.7,2.8,4.1,1.3,"versicolor",2.03571428571429,"Medium"
"101",6.3,3.3,6,2.5,"virginica",1.90909090909091,"Medium"
"102",5.8,2.7,5.1,1.9,"virginica",2.14814814814815,"Medium"
"103",7.1,3,5.9,2.1,"virginica",2.36666666666667,"Long"
"104",6.3,2.9,5.6,1.8,"virginica",2.17241379310345,"Medium"
"105",6.5,3,5.8,2.2,"virginica",2.16666666666667,"Medium"
"106",7.6,3,6.6,2.1,"virginica",2.53333333333333,"Long"
"107",4.9,2.5,4.5,1.7,"virginica",1.96,"Short"
"108",7.3,2.9,6.3,1.8,"virginica",2.51724137931034,"Long"
"109",6.7,2.5,5.8,1.8,"virginica",2.68,"Long"
"110",7.2,3.6,6.1,2.5,"virginica",2,"Long"
"111",6.5,3.2,5.1,2,"virginica",2.03125,"Medium"
"112",6.4,2.7,5.3,1.9,"virginica",2.37037037037037,"Medium"
"113",6.8,3,5.5,2.1,"virginica",2.26666666666667,"Long"
"114",5.7,2.5,5,2,"virginica",2.28,"Medium"
"115",5.8,2.8,5.1,2.4,"virginica",2.07142857142857,"Medium"
"116",6.4,3.2,5.3,2.3,"virginica",2,"Medium"
"117",6.5,3,5.5,1.8,"virginica",2.16666666666667,"Medium"
"118",5.85571428571429,3.8,6.7,2.2,"virginica",2.02631578947368,"Long"
"119",7.7,2.6,6.9,2.3,"virginica",2.96153846153846,"Long"
"120",6,2.2,5,1.5,"virginica",2.72727272727273,"Medium"
"121",6.9,3.2,5.7,2.3,"virginica",2.15625,"Long"
"122",5.6,2.8,4.9,2,"virginica",2,"Medium"
"123",7.7,2.8,6.7,2,"virginica",2.75,"Long"
"124",6.3,2.7,4.9,1.8,"virginica",2.33333333333333,"Medium"
"125",6.7,3.3,5.7,2.1,"virginica",2.03030303030303,"Long"
"126",7.2,3.2,6,1.8,"virginica",2.25,"Long"
"127",6.2,2.8,4.8,1.8,"virginica",2.21428571428571,"Medium"
"128",6.1,3,4.9,1.8,"virginica",2.03333333333333,"Medium"
"129",6.4,2.8,5.6,2.1,"virginica",2.28571428571429,"Medium"
"130",7.2,3,5.8,1.6,"virginica",2.4,"Long"
"131",7.4,2.8,6.1,1.9,"virginica",2.64285714285714,"Long"
"132",7.9,3.8,6.4,2,"virginica",2.07894736842105,"Long"
"133",6.4,2.8,5.6,2.2,"virginica",2.28571428571429,"Medium"
"134",6.3,2.8,5.1,1.5,"virginica",2.25,"Medium"
"135",6.1,2.6,5.6,1.4,"virginica",2.34615384615385,"Medium"
"136",7.7,3,6.1,2.3,"virginica",2.56666666666667,"Long"
"137",6.3,3.4,5.6,2.4,"virginica",1.85294117647059,"Medium"
"138",6.4,3.1,5.5,1.8,"virginica",2.06451612903226,"Medium"
"139",6,3,4.8,1.8,"virginica",2,"Medium"
"140",6.9,3.1,5.4,2.1,"virginica",2.2258064516129,"Long"
"141",6.7,3.1,5.6,2.4,"virginica",2.16129032258065,"Long"
"142",6.9,3.1,5.1,2.3,"virginica",2.2258064516129,"Long"
"143",5.85571428571429,2.7,5.1,1.9,"virginica",2.14814814814815,"Medium"
"144",6.8,3.2,5.9,2.3,"virginica",2.125,"Long"
"145",6.7,3.3,5.7,2.5,"virginica",2.03030303030303,"Long"
"146",6.7,3,5.2,2.3,"virginica",2.23333333333333,"Long"
"147",6.3,2.5,5,1.9,"virginica",2.52,"Medium"
"148",5.85571428571429,3,5.2,2,"virginica",2.16666666666667,"Medium"
"149",6.2,3.4,5.4,2.3,"virginica",1.82352941176471,"Medium"
"150",5.85571428571429,3,5.1,1.8,"virginica",1.96666666666667,"Medium"
