"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year","bill_flipper_ratio"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007,0.216022099447514
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007,0.212365591397849
"3","Adelie","Torgersen",40.3,18,195,3250,"female",2007,0.206666666666667
"4","Adelie","Torgersen",NA,NA,NA,4207,NA,2007,NA
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007,0.190155440414508
"6","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007,0.206842105263158
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007,0.214917127071823
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007,0.201025641025641
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007,0.176683937823834
"10","Adelie","Torgersen",42,20.2,190,4250,NA,2007,0.221052631578947
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007,0.203225806451613
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007,0.21
"13","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007,0.225824175824176
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007,0.202094240837696
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007,0.174747474747475
"16","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007,0.197837837837838
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007,0.198461538461538
"18","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007,0.215736040609137
"19","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007,0.18695652173913
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007,0.237113402061856
"21","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007,0.217241379310345
"22","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007,0.209444444444444
"23","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007,0.18994708994709
"24","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007,0.206486486486487
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007,0.215555555555556
"26","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007,0.188770053475936
"27","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007,0.221857923497268
"28","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007,0.216577540106952
"29","Adelie","Biscoe",37.9,18.6,172,3150,"female",2007,0.220348837209302
"30","Adelie","Biscoe",40.5,18.9,180,3950,"male",2007,0.225
"31","Adelie","Dream",39.5,16.7,178,3250,"female",2007,0.221910112359551
"32","Adelie","Dream",37.2,18.1,178,3900,"male",2007,0.208988764044944
"33","Adelie","Dream",39.5,17.8,188,3300,"female",2007,0.210106382978723
"34","Adelie","Dream",40.9,18.9,184,3900,"male",2007,0.222282608695652
"35","Adelie","Dream",36.4,17,195,3325,"female",2007,0.186666666666667
"36","Adelie","Dream",39.2,21.1,196,4150,"male",2007,0.2
"37","Adelie","Dream",38.8,20,190,3950,"male",2007,0.204210526315789
"38","Adelie","Dream",42.2,18.5,180,3550,"female",2007,0.234444444444444
"39","Adelie","Dream",37.6,19.3,181,3300,"female",2007,0.207734806629834
"40","Adelie","Dream",39.8,19.1,184,4650,"male",2007,0.216304347826087
"41","Adelie","Dream",36.5,18,182,3150,"female",2007,0.200549450549451
"42","Adelie","Dream",40.8,18.4,195,3900,"male",2007,0.209230769230769
"43","Adelie","Dream",36,18.5,186,3100,"female",2007,0.193548387096774
"44","Adelie","Dream",44.1,19.7,196,4400,"male",2007,0.225
"45","Adelie","Dream",37,16.9,185,3000,"female",2007,0.2
"46","Adelie","Dream",39.6,18.8,190,4600,"male",2007,0.208421052631579
"47","Adelie","Dream",41.1,19,182,3425,"male",2007,0.225824175824176
"48","Adelie","Dream",37.5,18.9,179,2975,NA,2007,0.209497206703911
"49","Adelie","Dream",36,17.9,190,3450,"female",2007,0.189473684210526
"50","Adelie","Dream",42.3,21.2,191,4150,"male",2007,0.221465968586387
"51","Adelie","Biscoe",39.6,17.7,186,3500,"female",2008,0.212903225806452
"52","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008,0.213297872340426
"53","Adelie","Biscoe",35,17.9,190,3450,"female",2008,0.184210526315789
"54","Adelie","Biscoe",42,19.5,200,4050,"male",2008,0.21
"55","Adelie","Biscoe",34.5,18.1,187,2900,"female",2008,0.184491978609626
"56","Adelie","Biscoe",41.4,18.6,191,3700,"male",2008,0.216753926701571
"57","Adelie","Biscoe",39,17.5,186,3550,"female",2008,0.209677419354839
"58","Adelie","Biscoe",40.6,18.8,193,3800,"male",2008,0.210362694300518
"59","Adelie","Biscoe",36.5,16.6,181,2850,"female",2008,0.201657458563536
"60","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008,0.193814432989691
"61","Adelie","Biscoe",35.7,16.9,185,3150,"female",2008,0.192972972972973
"62","Adelie","Biscoe",41.3,21.1,195,4400,"male",2008,0.211794871794872
"63","Adelie","Biscoe",37.6,17,185,3600,"female",2008,0.203243243243243
"64","Adelie","Biscoe",41.1,18.2,192,4050,"male",2008,0.2140625
"65","Adelie","Biscoe",36.4,17.1,184,2850,"female",2008,0.197826086956522
"66","Adelie","Biscoe",41.6,18,192,3950,"male",2008,0.216666666666667
"67","Adelie","Biscoe",35.5,16.2,195,3350,"female",2008,0.182051282051282
"68","Adelie","Biscoe",41.1,19.1,188,4100,"male",2008,0.218617021276596
"69","Adelie","Torgersen",35.9,16.6,190,3050,"female",2008,0.188947368421053
"70","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008,0.211111111111111
"71","Adelie","Torgersen",33.5,19,190,3600,"female",2008,0.176315789473684
"72","Adelie","Torgersen",39.7,18.4,190,3900,"male",2008,0.208947368421053
"73","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008,0.202040816326531
"74","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008,0.23248730964467
"75","Adelie","Torgersen",35.5,17.5,190,3700,"female",2008,0.186842105263158
"76","Adelie","Torgersen",42.8,18.5,195,4250,"male",2008,0.219487179487179
"77","Adelie","Torgersen",40.9,16.8,191,3700,"female",2008,0.21413612565445
"78","Adelie","Torgersen",37.2,19.4,184,3900,"male",2008,0.202173913043478
"79","Adelie","Torgersen",36.2,16.1,187,3550,"female",2008,0.193582887700535
"80","Adelie","Torgersen",42.1,19.1,195,4000,"male",2008,0.215897435897436
"81","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008,0.183068783068783
"82","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008,0.218877551020408
"83","Adelie","Torgersen",36.7,18.8,187,3800,"female",2008,0.196256684491979
"84","Adelie","Torgersen",35.1,19.4,193,4200,"male",2008,0.181865284974093
"85","Adelie","Dream",37.3,17.8,191,3350,"female",2008,0.195287958115183
"86","Adelie","Dream",41.3,20.3,194,3550,"male",2008,0.212886597938144
"87","Adelie","Dream",36.3,19.5,190,3800,"male",2008,0.191052631578947
"88","Adelie","Dream",36.9,18.6,189,3500,"female",2008,0.195238095238095
"89","Adelie","Dream",38.3,19.2,189,3950,"male",2008,0.202645502645503
"90","Adelie","Dream",38.9,18.8,190,3600,"female",2008,0.204736842105263
"91","Adelie","Dream",35.7,18,202,3550,"female",2008,0.176732673267327
"92","Adelie","Dream",41.1,18.1,205,4300,"male",2008,0.200487804878049
"93","Adelie","Dream",34,17.1,185,3400,"female",2008,0.183783783783784
"94","Adelie","Dream",39.6,18.1,186,4450,"male",2008,0.212903225806452
"95","Adelie","Dream",36.2,17.3,187,3300,"female",2008,0.193582887700535
"96","Adelie","Dream",40.8,18.9,208,4300,"male",2008,0.196153846153846
"97","Adelie","Dream",38.1,18.6,190,3700,"female",2008,0.200526315789474
"98","Adelie","Dream",40.3,18.5,196,4350,"male",2008,0.205612244897959
"99","Adelie","Dream",33.1,16.1,178,2900,"female",2008,0.185955056179775
"100","Adelie","Dream",43.2,18.5,192,4100,"male",2008,0.225
"101","Adelie","Biscoe",35,17.9,192,3725,"female",2009,0.182291666666667
"102","Adelie","Biscoe",41,20,203,4725,"male",2009,0.201970443349754
"103","Adelie","Biscoe",37.7,16,183,3075,"female",2009,0.206010928961749
"104","Adelie","Biscoe",37.8,20,190,4250,"male",2009,0.198947368421053
"105","Adelie","Biscoe",37.9,18.6,193,2925,"female",2009,0.196373056994819
"106","Adelie","Biscoe",39.7,18.9,184,3550,"male",2009,0.215760869565217
"107","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009,0.193969849246231
"108","Adelie","Biscoe",38.2,20,190,3900,"male",2009,0.201052631578947
"109","Adelie","Biscoe",38.1,17,181,3175,"female",2009,0.210497237569061
"110","Adelie","Biscoe",43.2,19,197,4775,"male",2009,0.219289340101523
"111","Adelie","Biscoe",38.1,16.5,198,3825,"female",2009,0.192424242424242
"112","Adelie","Biscoe",45.6,20.3,191,4600,"male",2009,0.238743455497382
"113","Adelie","Biscoe",39.7,17.7,193,3200,"female",2009,0.205699481865285
"114","Adelie","Biscoe",42.2,19.5,197,4275,"male",2009,0.214213197969543
"115","Adelie","Biscoe",39.6,20.7,191,3900,"female",2009,0.207329842931937
"116","Adelie","Biscoe",42.7,18.3,196,4075,"male",2009,0.217857142857143
"117","Adelie","Torgersen",38.6,17,188,2900,"female",2009,0.20531914893617
"118","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009,0.187437185929648
"119","Adelie","Torgersen",35.7,17,189,3350,"female",2009,0.188888888888889
"120","Adelie","Torgersen",41.1,18.6,189,3325,"male",2009,0.217460317460317
"121","Adelie","Torgersen",36.2,17.2,187,3150,"female",2009,0.193582887700535
"122","Adelie","Torgersen",37.7,19.8,198,3500,"male",2009,0.19040404040404
"123","Adelie","Torgersen",40.2,17,176,3450,"female",2009,0.228409090909091
"124","Adelie","Torgersen",41.4,18.5,202,3875,"male",2009,0.204950495049505
"125","Adelie","Torgersen",35.2,15.9,186,3050,"female",2009,0.189247311827957
"126","Adelie","Torgersen",40.6,19,199,4000,"male",2009,0.204020100502513
"127","Adelie","Torgersen",38.8,17.6,191,3275,"female",2009,0.203141361256545
"128","Adelie","Torgersen",41.5,18.3,195,4300,"male",2009,0.212820512820513
"129","Adelie","Torgersen",39,17.1,191,3050,"female",2009,0.204188481675393
"130","Adelie","Torgersen",44.1,18,210,4000,"male",2009,0.21
"131","Adelie","Torgersen",38.5,17.9,190,3325,"female",2009,0.202631578947368
"132","Adelie","Torgersen",43.1,19.2,197,3500,"male",2009,0.218781725888325
"133","Adelie","Dream",36.8,18.5,193,3500,"female",2009,0.190673575129534
"134","Adelie","Dream",37.5,18.5,199,4475,"male",2009,0.188442211055276
"135","Adelie","Dream",38.1,17.6,187,3425,"female",2009,0.203743315508021
"136","Adelie","Dream",41.1,17.5,190,3900,"male",2009,0.216315789473684
"137","Adelie","Dream",35.6,17.5,191,3175,"female",2009,0.186387434554974
"138","Adelie","Dream",40.2,20.1,200,3975,"male",2009,0.201
"139","Adelie","Dream",37,16.5,185,3400,"female",2009,0.2
"140","Adelie","Dream",39.7,17.9,193,4250,"male",2009,0.205699481865285
"141","Adelie","Dream",40.2,17.1,193,3400,"female",2009,0.208290155440415
"142","Adelie","Dream",40.6,17.2,187,3475,"male",2009,0.217112299465241
"143","Adelie","Dream",32.1,15.5,188,3050,"female",2009,0.170744680851064
"144","Adelie","Dream",40.7,17,190,3725,"male",2009,0.214210526315789
"145","Adelie","Dream",37.3,16.8,192,3000,"female",2009,0.194270833333333
"146","Adelie","Dream",39,18.7,185,3650,"male",2009,0.210810810810811
"147","Adelie","Dream",39.2,18.6,190,4250,"male",2009,0.206315789473684
"148","Adelie","Dream",36.6,18.4,184,3475,"female",2009,0.198913043478261
"149","Adelie","Dream",36,17.8,195,3450,"female",2009,0.184615384615385
"150","Adelie","Dream",37.8,18.1,193,3750,"male",2009,0.195854922279793
"151","Adelie","Dream",36,17.1,187,3700,"female",2009,0.192513368983957
"152","Adelie","Dream",41.5,18.5,201,4000,"male",2009,0.206467661691542
"153","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007,0.218483412322275
"154","Gentoo","Biscoe",50,16.3,230,5700,"male",2007,0.217391304347826
"155","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007,0.231904761904762
"156","Gentoo","Biscoe",50,15.2,218,5700,"male",2007,0.229357798165138
"157","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007,0.221395348837209
"158","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007,0.221428571428571
"159","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007,0.215165876777251
"160","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007,0.21324200913242
"161","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007,0.207177033492823
"162","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007,0.217674418604651
"163","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007,0.191121495327103
"164","Gentoo","Biscoe",49,16.1,216,5550,"male",2007,0.226851851851852
"165","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007,0.212616822429907
"166","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007,0.227230046948357
"167","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007,0.218095238095238
"168","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007,0.227188940092166
"169","Gentoo","Biscoe",42,13.5,210,4150,"female",2007,0.2
"170","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007,0.22262443438914
"171","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007,0.221052631578947
"172","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007,0.219369369369369
"173","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007,0.230275229357798
"174","Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007,0.209767441860465
"175","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007,0.21830985915493
"176","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007,0.215348837209302
"177","Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007,0.19953488372093
"178","Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007,0.214418604651163
"179","Gentoo","Biscoe",44.5,14.3,216,4100,NA,2007,0.206018518518519
"180","Gentoo","Biscoe",47.8,15,215,5650,"male",2007,0.222325581395349
"181","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007,0.22952380952381
"182","Gentoo","Biscoe",50,15.3,220,5550,"male",2007,0.227272727272727
"183","Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007,0.213063063063063
"184","Gentoo","Biscoe",42.8,14.2,209,4700,"female",2007,0.204784688995215
"185","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007,0.217874396135266
"186","Gentoo","Biscoe",59.6,17,230,6050,"male",2007,0.259130434782609
"187","Gentoo","Biscoe",49.1,14.8,220,5150,"female",2008,0.223181818181818
"188","Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008,0.22
"189","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008,0.2
"190","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008,0.202739726027397
"191","Gentoo","Biscoe",44,13.6,208,4350,"female",2008,0.211538461538462
"192","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008,0.234134615384615
"193","Gentoo","Biscoe",42.7,13.7,208,3950,"female",2008,0.205288461538462
"194","Gentoo","Biscoe",49.6,16,225,5700,"male",2008,0.220444444444444
"195","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008,0.215714285714286
"196","Gentoo","Biscoe",49.6,15,216,4750,"male",2008,0.22962962962963
"197","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008,0.227477477477477
"198","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008,0.200921658986175
"199","Gentoo","Biscoe",45.5,13.9,210,4200,"female",2008,0.216666666666667
"200","Gentoo","Biscoe",50.5,15.9,225,5400,"male",2008,0.224444444444444
"201","Gentoo","Biscoe",44.9,13.3,213,5100,"female",2008,0.210798122065728
"202","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008,0.210232558139535
"203","Gentoo","Biscoe",46.6,14.2,210,4850,"female",2008,0.221904761904762
"204","Gentoo","Biscoe",48.5,14.1,220,5300,"male",2008,0.220454545454545
"205","Gentoo","Biscoe",45.1,14.4,210,4400,"female",2008,0.214761904761905
"206","Gentoo","Biscoe",50.1,15,225,5000,"male",2008,0.222666666666667
"207","Gentoo","Biscoe",46.5,14.4,217,4900,"female",2008,0.214285714285714
"208","Gentoo","Biscoe",45,15.4,220,5050,"male",2008,0.204545454545455
"209","Gentoo","Biscoe",43.8,13.9,208,4300,"female",2008,0.210576923076923
"210","Gentoo","Biscoe",45.5,15,220,5000,"male",2008,0.206818181818182
"211","Gentoo","Biscoe",43.2,14.5,208,4450,"female",2008,0.207692307692308
"212","Gentoo","Biscoe",50.4,15.3,224,5550,"male",2008,0.225
"213","Gentoo","Biscoe",45.3,13.8,208,4200,"female",2008,0.217788461538462
"214","Gentoo","Biscoe",46.2,14.9,221,5300,"male",2008,0.209049773755656
"215","Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008,0.213551401869159
"216","Gentoo","Biscoe",54.3,15.7,231,5650,"male",2008,0.235064935064935
"217","Gentoo","Biscoe",45.8,14.2,219,4700,"female",2008,0.209132420091324
"218","Gentoo","Biscoe",49.8,16.8,230,5700,"male",2008,0.216521739130435
"219","Gentoo","Biscoe",46.2,14.4,214,4650,NA,2008,0.21588785046729
"220","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008,0.216157205240175
"221","Gentoo","Biscoe",43.5,14.2,220,4700,"female",2008,0.197727272727273
"222","Gentoo","Biscoe",50.7,15,223,5550,"male",2008,0.227354260089686
"223","Gentoo","Biscoe",47.7,15,216,4750,"female",2008,0.220833333333333
"224","Gentoo","Biscoe",46.4,15.6,221,5000,"male",2008,0.209954751131222
"225","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008,0.218099547511312
"226","Gentoo","Biscoe",46.5,14.8,217,5200,"female",2008,0.214285714285714
"227","Gentoo","Biscoe",46.4,15,216,4700,"female",2008,0.214814814814815
"228","Gentoo","Biscoe",48.6,16,230,5800,"male",2008,0.211304347826087
"229","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008,0.227272727272727
"230","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008,0.232272727272727
"231","Gentoo","Biscoe",45.2,13.8,215,4750,"female",2008,0.210232558139535
"232","Gentoo","Biscoe",45.2,16.4,223,5950,"male",2008,0.202690582959641
"233","Gentoo","Biscoe",49.1,14.5,212,4625,"female",2009,0.231603773584906
"234","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009,0.237556561085973
"235","Gentoo","Biscoe",47.4,14.6,212,4725,"female",2009,0.223584905660377
"236","Gentoo","Biscoe",50,15.9,224,5350,"male",2009,0.223214285714286
"237","Gentoo","Biscoe",44.9,13.8,212,4750,"female",2009,0.211792452830189
"238","Gentoo","Biscoe",50.8,17.3,228,5600,"male",2009,0.22280701754386
"239","Gentoo","Biscoe",43.4,14.4,218,4600,"female",2009,0.199082568807339
"240","Gentoo","Biscoe",51.3,14.2,218,5300,"male",2009,0.235321100917431
"241","Gentoo","Biscoe",47.5,14,212,4875,"female",2009,0.224056603773585
"242","Gentoo","Biscoe",52.1,17,230,5550,"male",2009,0.226521739130435
"243","Gentoo","Biscoe",47.5,15,218,4950,"female",2009,0.217889908256881
"244","Gentoo","Biscoe",52.2,17.1,228,5400,"male",2009,0.228947368421053
"245","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009,0.214622641509434
"246","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009,0.220982142857143
"247","Gentoo","Biscoe",44.5,14.7,214,4850,"female",2009,0.207943925233645
"248","Gentoo","Biscoe",50.8,15.7,226,5200,"male",2009,0.224778761061947
"249","Gentoo","Biscoe",49.4,15.8,216,4925,"male",2009,0.228703703703704
"250","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009,0.211261261261261
"251","Gentoo","Biscoe",48.4,14.4,203,4625,"female",2009,0.238423645320197
"252","Gentoo","Biscoe",51.1,16.5,225,5250,"male",2009,0.227111111111111
"253","Gentoo","Biscoe",48.5,15,219,4850,"female",2009,0.221461187214612
"254","Gentoo","Biscoe",55.9,17,228,5600,"male",2009,0.245175438596491
"255","Gentoo","Biscoe",47.2,15.5,215,4975,"female",2009,0.21953488372093
"256","Gentoo","Biscoe",49.1,15,228,5500,"male",2009,0.215350877192982
"257","Gentoo","Biscoe",47.3,13.8,216,4725,NA,2009,0.218981481481481
"258","Gentoo","Biscoe",46.8,16.1,215,5500,"male",2009,0.217674418604651
"259","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009,0.198571428571429
"260","Gentoo","Biscoe",53.4,15.8,219,5500,"male",2009,0.243835616438356
"261","Gentoo","Biscoe",43.3,14,208,4575,"female",2009,0.208173076923077
"262","Gentoo","Biscoe",48.1,15.1,209,5500,"male",2009,0.230143540669856
"263","Gentoo","Biscoe",50.5,15.2,216,5000,"female",2009,0.233796296296296
"264","Gentoo","Biscoe",49.8,15.9,229,5950,"male",2009,0.217467248908297
"265","Gentoo","Biscoe",43.5,15.2,213,4650,"female",2009,0.204225352112676
"266","Gentoo","Biscoe",51.5,16.3,230,5500,"male",2009,0.223913043478261
"267","Gentoo","Biscoe",46.2,14.1,217,4375,"female",2009,0.212903225806452
"268","Gentoo","Biscoe",55.1,16,230,5850,"male",2009,0.239565217391304
"269","Gentoo","Biscoe",44.5,15.7,217,4875,NA,2009,0.205069124423963
"270","Gentoo","Biscoe",48.8,16.2,222,6000,"male",2009,0.21981981981982
"271","Gentoo","Biscoe",47.2,13.7,214,4925,"female",2009,0.220560747663551
"272","Gentoo","Biscoe",NA,NA,NA,4207,NA,2009,NA
"273","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009,0.217674418604651
"274","Gentoo","Biscoe",50.4,15.7,222,5750,"male",2009,0.227027027027027
"275","Gentoo","Biscoe",45.2,14.8,212,5200,"female",2009,0.213207547169811
"276","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009,0.234272300469484
"277","Chinstrap","Dream",46.5,17.9,192,3500,"female",2007,0.2421875
"278","Chinstrap","Dream",50,19.5,196,3900,"male",2007,0.255102040816327
"279","Chinstrap","Dream",51.3,19.2,193,3650,"male",2007,0.26580310880829
"280","Chinstrap","Dream",45.4,18.7,188,3525,"female",2007,0.241489361702128
"281","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007,0.26751269035533
"282","Chinstrap","Dream",45.2,17.8,198,3950,"female",2007,0.228282828282828
"283","Chinstrap","Dream",46.1,18.2,178,3250,"female",2007,0.258988764044944
"284","Chinstrap","Dream",51.3,18.2,197,3750,"male",2007,0.260406091370558
"285","Chinstrap","Dream",46,18.9,195,4150,"female",2007,0.235897435897436
"286","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007,0.259090909090909
"287","Chinstrap","Dream",46.6,17.8,193,3800,"female",2007,0.241450777202073
"288","Chinstrap","Dream",51.7,20.3,194,3775,"male",2007,0.266494845360825
"289","Chinstrap","Dream",47,17.3,185,3700,"female",2007,0.254054054054054
"290","Chinstrap","Dream",52,18.1,201,4050,"male",2007,0.258706467661692
"291","Chinstrap","Dream",45.9,17.1,190,3575,"female",2007,0.241578947368421
"292","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007,0.251243781094527
"293","Chinstrap","Dream",50.3,20,197,3300,"male",2007,0.255329949238579
"294","Chinstrap","Dream",58,17.8,181,3700,"female",2007,0.320441988950276
"295","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007,0.244210526315789
"296","Chinstrap","Dream",49.2,18.2,195,4400,"male",2007,0.252307692307692
"297","Chinstrap","Dream",42.4,17.3,181,3600,"female",2007,0.234254143646409
"298","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007,0.253926701570681
"299","Chinstrap","Dream",43.2,16.6,187,2900,"female",2007,0.231016042780749
"300","Chinstrap","Dream",50.6,19.4,193,3800,"male",2007,0.262176165803109
"301","Chinstrap","Dream",46.7,17.9,195,3300,"female",2007,0.23948717948718
"302","Chinstrap","Dream",52,19,197,4150,"male",2007,0.263959390862944
"303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008,0.2525
"304","Chinstrap","Dream",49.5,19,200,3800,"male",2008,0.2475
"305","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008,0.242931937172775
"306","Chinstrap","Dream",52.8,20,205,4550,"male",2008,0.257560975609756
"307","Chinstrap","Dream",40.9,16.6,187,3200,"female",2008,0.218716577540107
"308","Chinstrap","Dream",54.2,20.8,201,4300,"male",2008,0.269651741293532
"309","Chinstrap","Dream",42.5,16.7,187,3350,"female",2008,0.227272727272727
"310","Chinstrap","Dream",51,18.8,203,4100,"male",2008,0.251231527093596
"311","Chinstrap","Dream",49.7,18.6,195,3600,"male",2008,0.254871794871795
"312","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008,0.238693467336683
"313","Chinstrap","Dream",47.6,18.3,195,3850,"female",2008,0.244102564102564
"314","Chinstrap","Dream",52,20.7,210,4800,"male",2008,0.247619047619048
"315","Chinstrap","Dream",46.9,16.6,192,2700,"female",2008,0.244270833333333
"316","Chinstrap","Dream",53.5,19.9,205,4500,"male",2008,0.260975609756098
"317","Chinstrap","Dream",49,19.5,210,3950,"male",2008,0.233333333333333
"318","Chinstrap","Dream",46.2,17.5,187,3650,"female",2008,0.247058823529412
"319","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008,0.25969387755102
"320","Chinstrap","Dream",45.5,17,196,3500,"female",2008,0.232142857142857
"321","Chinstrap","Dream",50.9,17.9,196,3675,"female",2009,0.25969387755102
"322","Chinstrap","Dream",50.8,18.5,201,4450,"male",2009,0.25273631840796
"323","Chinstrap","Dream",50.1,17.9,190,3400,"female",2009,0.263684210526316
"324","Chinstrap","Dream",49,19.6,212,4300,"male",2009,0.231132075471698
"325","Chinstrap","Dream",51.5,18.7,187,3250,"male",2009,0.275401069518717
"326","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009,0.251515151515152
"327","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009,0.241708542713568
"328","Chinstrap","Dream",51.4,19,201,3950,"male",2009,0.255721393034826
"329","Chinstrap","Dream",45.7,17.3,193,3600,"female",2009,0.236787564766839
"330","Chinstrap","Dream",50.7,19.7,203,4050,"male",2009,0.249753694581281
"331","Chinstrap","Dream",42.5,17.3,187,3350,"female",2009,0.227272727272727
"332","Chinstrap","Dream",52.2,18.8,197,3450,"male",2009,0.26497461928934
"333","Chinstrap","Dream",45.2,16.6,191,3250,"female",2009,0.236649214659686
"334","Chinstrap","Dream",49.3,19.9,203,4050,"male",2009,0.242857142857143
"335","Chinstrap","Dream",50.2,18.8,202,3800,"male",2009,0.248514851485149
"336","Chinstrap","Dream",45.6,19.4,194,3525,"female",2009,0.235051546391753
"337","Chinstrap","Dream",51.9,19.5,206,3950,"male",2009,0.251941747572816
"338","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009,0.247619047619048
"339","Chinstrap","Dream",45.7,17,195,3650,"female",2009,0.234358974358974
"340","Chinstrap","Dream",55.8,19.8,207,4000,"male",2009,0.269565217391304
"341","Chinstrap","Dream",43.5,18.1,202,3400,"female",2009,0.215346534653465
"342","Chinstrap","Dream",49.6,18.2,193,3775,"male",2009,0.25699481865285
"343","Chinstrap","Dream",50.8,19,210,4100,"male",2009,0.241904761904762
"344","Chinstrap","Dream",50.2,18.7,198,3775,"female",2009,0.253535353535354
